dataset;spatial_class;geo_ontology
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/pier;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/oil_field;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/post_office_building;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/hydrographic_feature;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/drainage_basin;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/ocean_trench;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/bank_hydrographic_;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/beach;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/mountain_range;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/earthquake_feature;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/canyon;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/country_4th_order_division;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/reef;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/dune;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/ledge;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/cape;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/wetland;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/gaging_station;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/tunnel;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/bight;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/economic_region;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/reserve;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/performance_site;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/oase;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/court_house;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/coastal_zone;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/tundra;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/power_generation_site;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/seaplane_base;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/military_area;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/habitat;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/land_parcel;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/bridge;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/ice_mass;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/transportation_feature;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/building;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/alluvial_fan;W3C Basic Geo
Alpine Ski Racers of Austria;http://www.w3.org/2000/01/rdf-schema#Resource;W3C Basic Geo
Alpine Ski Racers of Austria;http://www.w3.org/2004/02/skos/core#Concept;W3C Basic Geo
ASCDC_LOD;http://www.geonames.org/ontology#A;Geonames
ASCDC_LOD;http://www.geonames.org/ontology#T;Geonames
ASCDC_LOD;http://www.geonames.org/ontology#Feature;W3C Basic Geo
ASCDC_LOD;http://www.geonames.org/ontology#P;Geonames
ASCDC_LOD;http://www.geonames.org/ontology#H;Geonames
ASCDC_LOD;http://www.geonames.org/ontology#S;Geonames
Courts thesaurus;http://www.w3.org/2004/02/skos/core#Concept;W3C Basic Geo
Courts thesaurus;http://wolterskluwer.com/ceres/ltr-v1.0/Court;W3C Basic Geo
CRTM;http://vocab.gtfs.org/terms#Station;W3C Basic Geo
CRTM;http://datos.crtm.es/recurso/transporte/DPayPoint;GeoSparql
DATATURCYL - LOD for tourists in Castilla y León (Spain);http://dbpedia.org/ontology/residence;W3C Basic Geo
DATATURCYL - LOD for tourists in Castilla y León (Spain);http://dbpedia.org/ontology/Restaurant;W3C Basic Geo
DATATURCYL - LOD for tourists in Castilla y León (Spain);http://dbpedia.org/ontology/Camping;W3C Basic Geo
DATATURCYL - LOD for tourists in Castilla y León (Spain);http://dbpedia.org/ontology/Museum;W3C Basic Geo
DATATURCYL - LOD for tourists in Castilla y León (Spain);http://dbpedia.org/ontology/agency;W3C Basic Geo
DATATURCYL - LOD for tourists in Castilla y León (Spain);http://dbpedia.org/ontology/Activity;W3C Basic Geo
DATATURCYL - LOD for tourists in Castilla y León (Spain);http://dbpedia.org/ontology/CountrySeat;W3C Basic Geo
DATATURCYL - LOD for tourists in Castilla y León (Spain);http://dbpedia.org/ontology/Hotel;W3C Basic Geo
DATATURCYL - LOD for tourists in Castilla y León (Spain);http://dbpedia.org/ontology/office;W3C Basic Geo
Datos.bcn.cl;http://datos.bcn.cl/ontologies/bcn-geographics#Province;W3C Basic Geo
Datos.bcn.cl;http://datos.bcn.cl/ontologies/bcn-geographics#Region;W3C Basic Geo
Datos.bcn.cl;http://datos.bcn.cl/ontologies/bcn-geographics#GeographicalPlace;W3C Basic Geo
Datos.bcn.cl;http://datos.bcn.cl/ontologies/bcn-geographics#Commune;W3C Basic Geo
Datos.bcn.cl;http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing;W3C Basic Geo
Datos.bcn.cl;http://dbpedia.org/ontology/Place;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/IllHealth114052046;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/WikicatCulturalMonumentsOfAlbania;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/WikicatUninhabitedIslandsOfQikiqtaalukRegion;GeoRSS
DBpedia;http://dbpedia.org/class/yago/WikicatRadioStationsInBoise,Idaho;GeoRSS
DBpedia;http://dbpedia.org/class/yago/WikicatLakesOfLouisiana;W3C Basic Geo
DBpedia;http://dbpedia.org/ontology/Event;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/Vehicle104524313;GeoRSS
DBpedia;http://dbpedia.org/class/yago/WikicatRomanCatholicSecondarySchoolsInAuckland;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/Vehicle104524313;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/WikicatFormerPopulatedPlacesInSudan;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/WikicatMarineParksOfAustralia;GeoRSS
DBpedia;http://dbpedia.org/class/yago/WikicatIslandsOfNorthKorea;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/Branch109228324;GeoRSS
DBpedia;http://dbpedia.org/class/yago/WikicatRomanCatholicCathedralsInRomania;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/WikicatCitiesAndTownsInLiguria;GeoRSS
DBpedia;http://dbpedia.org/class/yago/WikicatParkBuildingsAndStructuresOnTheNationalRegisterOfHistoricPlacesInWyoming;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/WikicatRadarStationsOfTheUnitedStatesAirForce;GeoRSS
DBpedia;http://dbpedia.org/class/yago/WikicatHighSchoolsInBrevardCounty,Florida;GeoRSS
DBpedia;http://dbpedia.org/class/yago/Branch109228324;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/WikicatPopulatedPlacesInMinskRegion;GeoRSS
DBpedia;http://dbpedia.org/class/yago/WikicatCitiesAndTownsInLiguria;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/WikicatVillagesInChodzieżCounty;GeoRSS
DBpedia;http://dbpedia.org/class/yago/WikicatRadarStationsOfTheUnitedStatesAirForce;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/WikicatPreparatorySchoolsInLondon;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/WikicatBuildingsAndStructuresInLvivOblast;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/WikicatExhibitions;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/IllHealth114052046;GeoRSS
DBpedia;http://dbpedia.org/class/yago/PlantPart113086908;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/WikicatChurchesInLancaster;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/WikicatOctagonalBuildings;GeoRSS
DBpedia;http://dbpedia.org/class/yago/GhostTown108671509;GeoRSS
DBpedia;http://dbpedia.org/class/yago/WikicatAirportsInTheDemocraticRepublicOfTheCongo;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/WikicatBuildingsAndStructuresInLvivOblast;GeoRSS
DBpedia;http://dbpedia.org/class/yago/WikicatOnlineRetailCompaniesOfTheUnitedStates;GeoRSS
DBpedia;http://dbpedia.org/class/yago/GhostTown108671509;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/WikicatPrimarySchoolsInBirmingham,WestMidlands;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/WikicatBuildingsAndStructuresInSãoPaulo(city);W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/WikicatDistrictsOfTheDemocraticRepublicOfTheCongo;GeoRSS
DBpedia;http://dbpedia.org/class/yago/Club108227214;GeoRSS
DBpedia;http://dbpedia.org/class/yago/WikicatPrivateElementarySchoolsInCookCounty,Illinois;GeoRSS
DBpedia;http://dbpedia.org/class/yago/Club108227214;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/WikicatMunicipalitiesOfHuilaDepartment;GeoRSS
DBpedia;http://dbpedia.org/class/yago/WikicatGradeIIListedChurchesInCumbria;GeoRSS
DBpedia;http://dbpedia.org/class/yago/WikicatCommunesOfTunisia;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/WikicatVillagesInŁaskCounty;GeoRSS
DBpedia;http://dbpedia.org/class/yago/WikicatPopulatedPlacesInTaftCounty;W3C Basic Geo
DBpedia;http://dbpedia.org/class/yago/WikicatEasternOrthodoxCathedrals;W3C Basic Geo
